time_bin,syn_norm
2295,-0.45454545454545436
2296,-0.42657342657342645
2297,-0.45454545454545436
2298,-0.4405594405594404
2299,-0.45454545454545436
2300,-0.45454545454545436
2301,-0.4405594405594404
2302,-0.4405594405594404
2303,-0.4405594405594404
2304,-0.45454545454545436
2305,-0.4405594405594404
2306,-0.42657342657342645
2307,-0.45454545454545436
2308,-0.42657342657342645
2309,-0.4405594405594404
2310,-0.4405594405594404
2311,-0.4405594405594404
2312,-0.42657342657342645
2313,-0.4405594405594404
2314,-0.45454545454545436
2315,-0.45454545454545436
2316,-0.4405594405594404
2317,-0.4405594405594404
2318,-0.4405594405594404
2319,-0.4825174825174824
2320,-0.4405594405594404
2321,-0.45454545454545436
2322,-0.4405594405594404
2323,-0.46853146853146843
2324,-0.4405594405594404
2325,-0.4405594405594404
2326,-0.4405594405594404
2327,-0.45454545454545436
2328,-0.45454545454545436
2329,-0.45454545454545436
2330,-0.42657342657342645
2331,-0.45454545454545436
2332,-0.45454545454545436
2333,-0.45454545454545436
2334,-0.45454545454545436
2335,-0.4405594405594404
2336,-0.45454545454545436
2337,-0.4405594405594404
2338,-0.4405594405594404
2339,-0.4405594405594404
2340,-0.4405594405594404
2341,-0.4405594405594404
2342,-0.4825174825174824
2343,-0.42657342657342645
2344,-0.4405594405594404
2345,-0.45454545454545436
2346,-0.42657342657342645
2347,-0.4405594405594404
2348,-0.42657342657342645
2349,-0.4405594405594404
2350,-0.4405594405594404
2351,-0.46853146853146843
2352,-0.4405594405594404
2353,-0.4405594405594404
2354,-0.45454545454545436
2355,-0.42657342657342645
2356,-0.45454545454545436
2357,-0.4405594405594404
2358,-0.4405594405594404
2359,-0.42657342657342645
2360,-0.45454545454545436
2361,-0.4405594405594404
2362,-0.45454545454545436
2363,-0.46853146853146843
2364,-0.4405594405594404
2365,-0.46853146853146843
2366,-0.45454545454545436
2367,-0.42657342657342645
2368,-0.45454545454545436
2369,-0.45454545454545436
2370,-0.45454545454545436
2371,-0.4405594405594404
2372,-0.45454545454545436
2373,-0.45454545454545436
2374,-0.45454545454545436
2375,-0.45454545454545436
2376,-0.45454545454545436
2377,-0.4405594405594404
2378,-0.4405594405594404
2379,-0.4405594405594404
2380,-0.4405594405594404
2381,-0.42657342657342645
2382,-0.45454545454545436
2383,-0.4405594405594404
2384,-0.45454545454545436
2385,-0.4405594405594404
2386,-0.45454545454545436
2387,-0.4405594405594404
2388,-0.4405594405594404
2389,-0.45454545454545436
2390,-0.4405594405594404
2391,-0.45454545454545436
2392,-0.4405594405594404
2393,-0.4405594405594404
2394,-0.4405594405594404
2395,-0.45454545454545436
2396,-0.4405594405594404
2397,-0.45454545454545436
2398,-0.4405594405594404
2399,-0.4405594405594404
2400,-0.45454545454545436
2401,-0.45454545454545436
2402,-0.45454545454545436
2403,-0.45454545454545436
2404,-0.4405594405594404
2405,-0.45454545454545436
2406,-0.46853146853146843
2407,-0.4405594405594404
2408,-0.4405594405594404
2409,-0.4405594405594404
2410,-0.45454545454545436
2411,-0.4405594405594404
2412,-0.45454545454545436
2413,-0.4405594405594404
2414,-0.4405594405594404
2415,-0.45454545454545436
2416,-0.4405594405594404
2417,-0.42657342657342645
2418,-0.46853146853146843
2419,-0.45454545454545436
2420,-0.4405594405594404
2421,-0.45454545454545436
2422,-0.45454545454545436
2423,-0.45454545454545436
2424,-0.4405594405594404
2425,-0.42657342657342645
2426,-0.45454545454545436
2427,-0.45454545454545436
2428,-0.4405594405594404
2429,-0.4405594405594404
2430,-0.42657342657342645
2431,-0.45454545454545436
2432,-0.45454545454545436
2433,-0.45454545454545436
2434,-0.4405594405594404
2435,-0.45454545454545436
2436,-0.4405594405594404
2437,-0.45454545454545436
2438,-0.4405594405594404
2439,-0.4405594405594404
2440,-0.4405594405594404
2441,-0.45454545454545436
2442,-0.4405594405594404
2443,-0.45454545454545436
2444,-0.45454545454545436
2445,-0.45454545454545436
2446,-0.4405594405594404
2447,-0.4405594405594404
2448,-0.46853146853146843
2449,-0.4405594405594404
2450,-0.45454545454545436
2451,-0.4405594405594404
2452,-0.45454545454545436
2453,-0.4405594405594404
2454,-0.42657342657342645
2455,-0.45454545454545436
2456,-0.45454545454545436
2457,-0.4405594405594404
2458,-0.45454545454545436
2459,-0.45454545454545436
2460,-0.4405594405594404
2461,-0.46853146853146843
2462,-0.4405594405594404
2463,-0.45454545454545436
2464,-0.46853146853146843
2465,-0.4405594405594404
2466,-0.45454545454545436
2467,-0.42657342657342645
2468,-0.4405594405594404
2469,-0.45454545454545436
2470,-0.45454545454545436
2471,-0.45454545454545436
2472,-0.46853146853146843
2473,-0.46853146853146843
2474,-0.46853146853146843
2475,-0.4405594405594404
2476,-0.4405594405594404
2477,-0.45454545454545436
2478,-0.4825174825174824
2479,-0.42657342657342645
2480,-0.45454545454545436
2481,-0.4405594405594404
2482,-0.42657342657342645
2483,-0.4405594405594404
2484,-0.4405594405594404
2485,-0.45454545454545436
2486,-0.45454545454545436
2487,-0.45454545454545436
2488,-0.4405594405594404
2489,-0.4405594405594404
2490,-0.45454545454545436
2491,-0.4405594405594404
2492,-0.45454545454545436
2493,-0.4405594405594404
2494,-0.45454545454545436
2495,-0.4405594405594404
2496,-0.4405594405594404
2497,-0.45454545454545436
2498,-0.4405594405594404
2499,-0.46853146853146843
2500,-0.4405594405594404
2501,-0.4825174825174824
2502,-0.4405594405594404
2503,-0.4125874125874125
2504,-0.45454545454545436
2505,-0.4405594405594404
2506,-0.45454545454545436
2507,-0.4405594405594404
2508,-0.4405594405594404
2509,-0.46853146853146843
2510,-0.45454545454545436
2511,-0.4405594405594404
2512,-0.45454545454545436
2513,-0.46853146853146843
2514,-0.4405594405594404
2515,-0.45454545454545436
2516,-0.45454545454545436
2517,-0.4405594405594404
2518,-0.45454545454545436
2519,-0.45454545454545436
2520,-0.4405594405594404
2521,-0.42657342657342645
2522,-0.45454545454545436
2523,-0.4405594405594404
2524,-0.4405594405594404
2525,-0.45454545454545436
2526,-0.45454545454545436
2527,-0.45454545454545436
2528,-0.45454545454545436
2529,-0.4405594405594404
2530,-0.45454545454545436
2531,-0.42657342657342645
2532,-0.4405594405594404
2533,-0.46853146853146843
2534,-0.42657342657342645
2535,-0.4405594405594404
2536,-0.45454545454545436
2537,-0.46853146853146843
2538,-0.45454545454545436
2539,-0.4405594405594404
2540,-0.4405594405594404
2541,-0.4405594405594404
2542,-0.4405594405594404
2543,-0.45454545454545436
2544,-0.45454545454545436
2545,-0.6643356643356642
2546,-0.5384615384615383
2547,-0.45454545454545436
2548,-0.4405594405594404
2549,-0.46853146853146843
2550,-0.4405594405594404
2551,-0.4405594405594404
2552,-0.45454545454545436
2553,-0.4405594405594404
2554,-0.45454545454545436
2555,-0.45454545454545436
2556,-0.4405594405594404
2557,-0.45454545454545436
2558,-0.45454545454545436
2559,-0.42657342657342645
2560,-0.45454545454545436
2561,-0.4405594405594404
2562,-0.4405594405594404
2563,-0.45454545454545436
2564,-0.4405594405594404
2565,-0.45454545454545436
2566,-0.4405594405594404
2567,-0.4405594405594404
2568,-0.4405594405594404
2569,-0.45454545454545436
2570,-0.45454545454545436
2571,-0.4405594405594404
2572,-0.4405594405594404
2573,-0.45454545454545436
2574,-0.4405594405594404
2575,-0.45454545454545436
2576,-0.45454545454545436
2577,-0.46853146853146843
2578,-0.45454545454545436
2579,-0.45454545454545436
2580,-0.4405594405594404
2581,-0.45454545454545436
2582,-0.45454545454545436
2583,-0.4405594405594404
2584,-0.46853146853146843
2585,-0.4405594405594404
2586,-0.46853146853146843
2587,-0.45454545454545436
2588,-0.4825174825174824
2589,-0.42657342657342645
2590,-0.45454545454545436
2591,-0.45454545454545436
2592,-0.46853146853146843
2593,-0.45454545454545436
2594,-0.45454545454545436
2595,-0.42657342657342645
2596,-0.45454545454545436
2597,-0.46853146853146843
2598,-0.46853146853146843
2599,-0.45454545454545436
2600,-0.42657342657342645
2601,-0.45454545454545436
2602,-0.45454545454545436
2603,-0.4405594405594404
2604,-0.45454545454545436
2605,-0.42657342657342645
2606,-0.45454545454545436
2607,-0.45454545454545436
2608,-0.45454545454545436
2609,-0.45454545454545436
2610,-0.4405594405594404
2611,-0.46853146853146843
2612,-0.46853146853146843
2613,-0.45454545454545436
2614,-0.42657342657342645
2615,-0.45454545454545436
2616,-0.4405594405594404
2617,-0.4405594405594404
2618,-0.4405594405594404
2619,-0.42657342657342645
2620,-0.4405594405594404
2621,-0.45454545454545436
2622,-0.45454545454545436
2623,-0.45454545454545436
2624,-0.42657342657342645
2625,-0.4405594405594404
2626,-0.42657342657342645
2627,-0.45454545454545436
2628,-0.45454545454545436
2629,-0.46853146853146843
2630,-0.45454545454545436
2631,-0.4405594405594404
2632,-0.4825174825174824
2633,-0.4405594405594404
2634,-0.46853146853146843
2635,-0.42657342657342645
2636,-0.4405594405594404
2637,-0.46853146853146843
2638,-0.4405594405594404
2639,-0.46853146853146843
2640,-0.4405594405594404
2641,-0.45454545454545436
2642,-0.45454545454545436
2643,-0.4405594405594404
2644,-0.42657342657342645
2645,-0.4405594405594404
2646,-0.45454545454545436
2647,-0.46853146853146843
2648,-0.4405594405594404
2649,-0.42657342657342645
2650,-0.45454545454545436
2651,-0.4405594405594404
2652,-0.4405594405594404
2653,-0.4405594405594404
2654,-0.4405594405594404
2655,-0.45454545454545436
2656,-0.46853146853146843
2657,-0.42657342657342645
2658,-0.4405594405594404
2659,-0.45454545454545436
2660,-0.45454545454545436
2661,-0.45454545454545436
2662,-0.45454545454545436
2663,-0.45454545454545436
2664,-0.46853146853146843
2665,-0.4405594405594404
2666,-0.45454545454545436
2667,-0.45454545454545436
2668,-0.45454545454545436
2669,-0.45454545454545436
2670,-0.4405594405594404
2671,-0.45454545454545436
2672,-0.4405594405594404
2673,-0.45454545454545436
2674,-0.4405594405594404
2675,-0.45454545454545436
2676,-0.4825174825174824
2677,-0.45454545454545436
2678,-0.45454545454545436
2679,-0.4405594405594404
2680,-0.4405594405594404
2681,-0.4405594405594404
2682,-0.45454545454545436
2683,-0.42657342657342645
2684,-0.4405594405594404
2685,-0.45454545454545436
2686,-0.45454545454545436
2687,-0.45454545454545436
2688,-0.45454545454545436
2689,-0.45454545454545436
2690,-0.45454545454545436
2691,-0.46853146853146843
2692,-0.4405594405594404
2693,-0.45454545454545436
2694,-0.4405594405594404
2695,-0.4405594405594404
2696,-0.4405594405594404
2697,-0.45454545454545436
2698,-0.45454545454545436
2699,-0.45454545454545436
2700,-0.45454545454545436
2701,-0.4405594405594404
2702,-0.4825174825174824
2703,-0.4405594405594404
2704,-0.46853146853146843
2705,-0.45454545454545436
2706,-0.45454545454545436
2707,-0.4405594405594404
2708,-0.42657342657342645
2709,-0.42657342657342645
2710,-0.4405594405594404
2711,-0.4405594405594404
2712,-0.4405594405594404
2713,-0.42657342657342645
2714,-0.45454545454545436
2715,-0.45454545454545436
2716,-0.4405594405594404
2717,-0.45454545454545436
2718,-0.45454545454545436
2719,-0.4405594405594404
2720,-0.45454545454545436
2721,-0.4825174825174824
2722,-0.4405594405594404
2723,-0.45454545454545436
2724,-0.4405594405594404
2725,-0.45454545454545436
2726,-0.4405594405594404
2727,-0.4405594405594404
2728,-0.4405594405594404
2729,-0.45454545454545436
2730,-0.42657342657342645
2731,-0.4405594405594404
2732,-0.45454545454545436
2733,-0.4405594405594404
2734,-0.4405594405594404
2735,-0.46853146853146843
2736,-0.4405594405594404
2737,-0.4825174825174824
2738,-0.42657342657342645
2739,-0.4405594405594404
2740,-0.45454545454545436
2741,-0.4405594405594404
2742,-0.45454545454545436
2743,-0.45454545454545436
2744,-0.45454545454545436
2745,-0.45454545454545436
2746,-0.4405594405594404
2747,-0.46853146853146843
2748,-0.4405594405594404
2749,-0.42657342657342645
2750,-0.4405594405594404
2751,-0.4405594405594404
2752,-0.45454545454545436
2753,-0.45454545454545436
2754,-0.45454545454545436
2755,-0.45454545454545436
2756,-0.4405594405594404
2757,-0.45454545454545436
2758,-0.42657342657342645
2759,-0.46853146853146843
2760,-0.45454545454545436
2761,-0.45454545454545436
2762,-0.46853146853146843
2763,-0.45454545454545436
2764,-0.4405594405594404
2765,-0.45454545454545436
2766,-0.42657342657342645
2767,-0.4405594405594404
2768,-0.45454545454545436
2769,-0.45454545454545436
2770,-0.4405594405594404
2771,-0.4125874125874125
2772,-0.4405594405594404
2773,-0.45454545454545436
2774,-0.45454545454545436
2775,-0.4405594405594404
2776,-0.45454545454545436
2777,-0.46853146853146843
2778,-0.4405594405594404
2779,-0.45454545454545436
2780,-0.46853146853146843
2781,-0.4405594405594404
2782,-0.46853146853146843
2783,-0.4405594405594404
2784,-0.42657342657342645
2785,-0.4405594405594404
2786,-0.45454545454545436
2787,-0.46853146853146843
2788,-0.45454545454545436
2789,-0.4405594405594404
2790,-0.4405594405594404
2791,-0.46853146853146843
2792,-0.4405594405594404
2793,-0.45454545454545436
2794,-0.46853146853146843
2795,-0.4405594405594404
2796,-0.46853146853146843
2797,-0.45454545454545436
2798,-0.45454545454545436
2799,-0.46853146853146843
2800,-0.4405594405594404
2801,-0.45454545454545436
2802,-0.45454545454545436
2803,-0.46853146853146843
2804,-0.46853146853146843
2805,-0.45454545454545436
2806,-0.4405594405594404
2807,-0.4405594405594404
2808,-0.45454545454545436
2809,-0.45454545454545436
2810,-0.46853146853146843
2811,-0.45454545454545436
2812,-0.46853146853146843
2813,-0.45454545454545436
2814,-0.45454545454545436
2815,-0.4405594405594404
2816,-0.46853146853146843
2817,-0.45454545454545436
2818,-0.45454545454545436
2819,-0.4405594405594404
2820,-0.4405594405594404
2821,-0.45454545454545436
2822,-0.4405594405594404
2823,-0.4405594405594404
2824,-0.45454545454545436
2825,-0.4405594405594404
2826,-0.45454545454545436
2827,-0.45454545454545436
2828,-0.4405594405594404
2829,-0.4405594405594404
2830,-0.45454545454545436
2831,-0.4405594405594404
2832,-0.4405594405594404
2833,-0.4405594405594404
2834,-0.45454545454545436
2835,-0.4405594405594404
2836,-0.4825174825174824
2837,-0.45454545454545436
2838,-0.4405594405594404
2839,-0.45454545454545436
2840,-0.46853146853146843
2841,-0.4405594405594404
2842,-0.4405594405594404
2843,-0.45454545454545436
2844,-0.45454545454545436
2845,-0.4405594405594404
2846,-0.4825174825174824
2847,-0.4405594405594404
2848,-0.45454545454545436
2849,-0.4405594405594404
2850,-0.4405594405594404
2851,-0.45454545454545436
2852,-0.45454545454545436
2853,-0.4405594405594404
2854,-0.4405594405594404
2855,-0.46853146853146843
2856,-0.4405594405594404
2857,-0.4405594405594404
2858,-0.45454545454545436
2859,-0.45454545454545436
2860,-0.4405594405594404
2861,-0.4405594405594404
2862,-0.46853146853146843
2863,-0.4405594405594404
2864,-0.4405594405594404
2865,-0.4405594405594404
2866,-0.45454545454545436
2867,-0.45454545454545436
2868,-0.45454545454545436
2869,-0.45454545454545436
2870,-0.45454545454545436
2871,-0.4825174825174824
2872,-0.42657342657342645
2873,-0.45454545454545436
2874,-0.45454545454545436
2875,-0.45454545454545436
2876,-0.4405594405594404
2877,-0.46853146853146843
2878,-0.46853146853146843
2879,-0.45454545454545436
2880,-0.45454545454545436
2881,-0.45454545454545436
2882,-0.45454545454545436
2883,-0.45454545454545436
2884,-0.45454545454545436
2885,-0.45454545454545436
2886,-0.45454545454545436
2887,-0.42657342657342645
2888,-0.46853146853146843
2889,-0.4405594405594404
2890,-0.4405594405594404
2891,-0.42657342657342645
2892,-0.4405594405594404
2893,-0.4405594405594404
2894,-0.45454545454545436
2895,-0.4405594405594404
2896,-0.45454545454545436
2897,-0.45454545454545436
2898,-0.45454545454545436
2899,-0.4405594405594404
2900,-0.4405594405594404
2901,-0.4405594405594404
2902,-0.4405594405594404
2903,-0.46853146853146843
2904,-0.45454545454545436
2905,-0.4405594405594404
2906,-0.4405594405594404
2907,-0.4405594405594404
2908,-0.4405594405594404
2909,-0.46853146853146843
2910,-0.46853146853146843
2911,-0.45454545454545436
2912,-0.45454545454545436
2913,-0.4405594405594404
2914,-0.4405594405594404
2915,-0.4405594405594404
2916,-0.46853146853146843
2917,-0.4405594405594404
2918,-0.45454545454545436
2919,-0.45454545454545436
